"Id" "LST" "qnLST" "Signature.1" "Signature.2" "Signature.3" "Signature.4" "Signature.5" "Signature.6" "Signature.7" "Signature.8" "Signature.9" "Signature.10" "Signature.11" "Signature.12" "Signature.13" "Signature.14" "Signature.15" "Signature.16" "Signature.17" "Signature.18" "Signature.19" "Signature.20" "Signature.21" "Signature.22" "Signature.23" "Signature.24" "Signature.25" "Signature.26" "Signature.27" "Signature.28" "Signature.29" "Signature.30" "dominant"
"1" "TCGA-OR-A5J1" 0 1.76149425287356 0.238512725658585 0 0.0791628500582187 0 0 0.318015976993777 0.0519665587349747 0 0 0.0221252400348177 0 0 0.0143079872631737 0 0.111350124047678 0 0 0 0 0.0592504391587639 0 0.0618590671572038 0 0.0149356931684024 0 0 0 0.0285133377244047 0 0 "Signature.6"
"2" "TCGA-OR-A5J2" 8 12.6005747126437 0.432327611769407 0.0031812188252899 0.129179575533702 0.156173959789845 0 0 0.00112241305954989 0 0 0 0 0 0 0 0.039307633829414 0 0 0 0 0 0 0 0 0 0 0.13556204547372 0 0 0.0391762950126128 0.0639692467064602 "Signature.1"
"3" "TCGA-OR-A5J3" 0 1.76149425287356 0.425735013085649 0 0 0 0 0 0 0 0 0 0.048699058645167 0 0.0266712290485044 0 0 0 0 0.0386132630317153 0 0.0832709704006689 0 0 0 0.19240585235128 0 0.165442838670758 0.0164717652374012 0.00269000952885532 0 0 "Signature.1"
"4" "TCGA-OR-A5J4" 28 32.2505083694492 0.0912707251985235 0 0.337635884328834 0.00706220361033913 0 0 0.0232933786588878 0 0 0.0087743667875061 0 0 0.110202668571709 0.029631905728679 0.134459023154895 0 0.000913804359826193 0 0 0.110026098617048 0 0 0 0.117691953633767 0 0 0 0 0.0290379873499844 0 "Signature.3"
"5" "TCGA-OR-A5J5" 8 12.6005747126437 0.877834109565801 0 0 0 0 0.122165890434199 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 "Signature.1"
"6" "TCGA-OR-A5J6" 2 4.5760640427737 0.261389340177963 0 0 0 0 0.218776955224335 0 0 0 0 0.0106040557609181 0 0.00608356291551012 0 0 0.330386071275099 0.00110810492409063 0 0.0288921001017438 0.0727659124128268 0 0.0190916655938487 0 0 0 0.0509022316136655 0 0 0 0 "Signature.16"
"7" "TCGA-OR-A5J7" 10 14.9251372008668 0.435543406928971 0 0.183876526336158 0 0 0 0 0 0 0.0371880209766785 0 0 0.0591937980148584 0 0 0 0.0124236227281068 0.0342353362092318 0.148093234076317 0.0744130861143431 0.00748174283382712 0 0.0075512257815074 0 0 0 0 0 0 0 "Signature.1"
"8" "TCGA-OR-A5J8" 30 39.375 0 0 0.00220151345524708 0.259888226634424 0.041374764431823 0.165878227163818 0 0 0.0220732010613946 0 0 0.0159714466978864 0.0225461040593106 0 0.120211348701187 0 0.00360212594929902 0.269836113829606 0 0.0112670131464854 0.0311971550119325 0 0.0218545813250968 0.0120981785324888 0 0 0 0 0 0 "Signature.18"
"9" "TCGA-OR-A5J9" 4 7.40217519314113 0.198368665803172 0 0.115045684154724 0 0 0.268185456958202 0 0 0 0 0 0.0611557449238249 0.0121577405513604 0 0 0 0 0 0 0 0.0753968166953544 0 0 0.0462108787098773 0 0.159493858475747 0 0 0.0639851537277377 0 "Signature.6"
"10" "TCGA-OR-A5JA" 14 18.105512177313 0 0 0 0.0397664246674889 0 0 0 0 0 0.0697707393647437 0 0 0.0108255768295234 0 0 0 0 0.849526665425514 0 0 0 0 0 0.0301105937127303 0 0 0 0 0 0 "Signature.18"
"11" "TCGA-OR-A5JB" 10 14.9251372008668 0.0648016682063314 0.0955482408778739 0 0.544736558148201 0 0.0254509755531673 0.0187704334028084 0 0 0 0 0.00413186624852881 0.0888175723582826 0 0 0 0.00578634313728409 0 0 0.133873793791618 0.00980127201502983 0 0 0.00828127626087507 0 0 0 0 0 0 "Signature.4"
"12" "TCGA-OR-A5JC" 1 3.49112021857923 0.174711369628605 0.0043495202920347 0.0648790236681957 0 0.214763012128904 0 0.0237178071589337 0 0 0 0 0.0574014777689705 0.0486365714430819 0 0.12382270524264 0 0 0 0 0.122249244666432 0 0 0 0.0492681644420851 0 0.116201103560117 0 0 0 0 "Signature.5"
"13" "TCGA-OR-A5JD" 0 1.76149425287356 0.0771571115478804 0 0.0830811343209773 0 0.238260775221458 0.244278623670763 0.0550789176048165 0 0 0.0193527868060031 0 0 0 0 0 0 0 0.00421243976383092 0 0.101974725025398 0.0447393843819696 0.00241489539448439 0.0288154160539856 0.100231652957011 0.000402137251422755 0 0 0 0 0 "Signature.6"
"14" "TCGA-OR-A5JE" 12 17.1371252983481 0.333509366988544 0 0.0142901185223958 0 0 0 0.033922815418458 0 0 0 0 0.129355103910468 0.0339474917804731 0 0 0 0 0.00647754727803442 0 0.0860852854346169 0.0236277354169771 0.00757944140064783 0.0414911951076348 0.249184785155544 0 0 0 0.0405291135862061 0 0 "Signature.1"
"15" "TCGA-OR-A5JF" 2 4.5760640427737 0.170513914243781 0 0.475517369214548 0 0 0 0.0904886635976905 0 0 0.00341296828724362 0 0 0.0178892075538806 0 0.0877630733277554 0.00313149320740696 0 0 0 0.00279043049263608 0 0 0 0.0769680147161053 0 0.0715248653589526 0 0 0 0 "Signature.3"
